Year,Statistic Name,Name(s),Team(s),Statistic Value
1914,Saves,Jack Bentley,Washington,4.0
1914,Saves,Hooks Dauss,Detroit,4.0
1914,Saves,Red Faber,Chicago,4.0
1914,Saves,Roy Mitchell,St. Louis,4.0
1914,Saves,Jim Shaw,Washington,4.0
1914,Shutouts,Walter Johnson,Washington,9.0
1914,Strikeouts,Walter Johnson,Washington,225.0
1914,Winning Percentage,Chief Bender,Philadelphia,0.85
1914,Wins,Walter Johnson,Washington,28.0
1915,Complete Games,Walter Johnson,Washington,35.0
1915,ERA,Smoky Joe Wood,Boston,1.49
1915,Games,Harry Coveleski,Detroit,50.0
1915,Games,Red Faber,Chicago,50.0
1915,Saves,Carl Mays,Boston,7.0
1915,Shutouts,Walter Johnson,Washington,7.0
1915,Shutouts,Jim Scott,Chicago,7.0
1915,Strikeouts,Walter Johnson,Washington,203.0
1915,Winning Percentage,Smoky Joe Wood,Boston,0.75
1915,Wins,Walter Johnson,Washington,27.0
1916,Complete Games,Walter Johnson,Washington,36.0
1916,ERA,Babe Ruth,Boston,1.75
1916,Games,Dave Davenport,St. Louis,59.0
1916,Saves,Bob Shawkey,New York,8.0
1916,Shutouts,Babe Ruth,Boston,9.0
1916,Strikeouts,Walter Johnson,Washington,228.0
1916,Winning Percentage,Nick Cullop,New York,0.684
1916,Wins,Walter Johnson,Washington,25.0
1917,Complete Games,Babe Ruth,Boston,35.0
1917,ERA,Eddie Cicotte,Chicago,1.53
1917,Games,Dave Danforth,Chicago,50.0
1917,Saves,Dave Danforth,Chicago,9.0
1917,Shutouts,Stan Coveleski,Cleveland,9.0
1917,Strikeouts,Walter Johnson,Washington,188.0
1917,Winning Percentage,Ed Klepfer,Cleveland,0.778
1917,Wins,Eddie Cicotte,Chicago,28.0
1918,Complete Games,Carl Mays,Boston,30.0
1918,Complete Games,Scott Perry,Philadelphia,30.0
1918,ERA,Walter Johnson,Washington,1.27
1918,Games,Jim Bagby,Cleveland,45.0
1918,Games,George Mogridge,New York,45.0
1918,Saves,George Mogridge,New York,7.0
1918,Shutouts,Walter Johnson,Washington,8.0
1918,Shutouts,Carl Mays,Boston,8.0
1918,Strikeouts,Walter Johnson,Washington,162.0
1918,Winning Percentage,Sam Jones,Boston,0.762
1918,Wins,Walter Johnson,Washington,23.0
1919,Complete Games,Eddie Cicotte,Chicago,30.0
1919,ERA,Walter Johnson,Washington,1.49
1919,Games,Jim Shaw,Washington,45.0
1919,Saves,Allan Russell,New York,5.0
1919,Saves,Allan Russell,Boston,5.0
1919,Saves,Bob Shawkey,New York,5.0
1919,Saves,Jim Shaw,Washington,5.0
1919,Shutouts,Walter Johnson,Washington,7.0
1919,Strikeouts,Walter Johnson,Washington,147.0
1919,Winning Percentage,Eddie Cicotte,Chicago,0.806
1919,Wins,Eddie Cicotte,Chicago,29.0
1920,Complete Games,Jim Bagby,Cleveland,30.0
1920,ERA,Bob Shawkey,New York,2.45
1920,Games,Jim Bagby,Cleveland,48.0
1920,Saves,Dickie Kerr,Chicago,5.0
1920,Saves,Urban Shocker,St. Louis,5.0
1920,Shutouts,Carl Mays,New York,6.0
1920,Strikeouts,Stan Coveleski,Cleveland,133.0
1920,Winning Percentage,Jim Bagby,Cleveland,0.721
1920,Wins,Jim Bagby,Cleveland,31.0
1921,Complete Games,Red Faber,Chicago,32.0
1921,ERA,Red Faber,Chicago,2.48
1921,Games,Carl Mays,New York,49.0
1921,Saves,Carl Mays,New York,7.0
1921,Saves,Jim Middleton,Detroit,7.0
1921,Shutouts,Sam Jones,Boston,5.0
1921,Strikeouts,Walter Johnson,Washington,143.0
1921,Winning Percentage,Carl Mays,New York,0.75
1921,Wins,Carl Mays,New York,27.0
1921,Wins,Urban Shocker,St. Louis,27.0
1922,Complete Games,Red Faber,Chicago,31.0
1922,ERA,Red Faber,Chicago,2.81
1922,Games,Eddie Rommel,Philadelphia,51.0
1922,Saves,Sam Jones,New York,8.0
1922,Shutouts,George Uhle,Cleveland,5.0
1922,Strikeouts,Urban Shocker,St. Louis,149.0
1922,Winning Percentage,Joe Bush,New York,0.788
1922,Wins,Eddie Rommel,Philadelphia,27.0
1923,Complete Games,George Uhle,Cleveland,29.0
1923,ERA,Stan Coveleski,Cleveland,2.76
1923,Games,Eddie Rommel,Philadelphia,56.0
1923,Saves,Allan Russell,Washington,9.0
1923,Shutouts,Stan Coveleski,Cleveland,5.0
1923,Strikeouts,Walter Johnson,Washington,130.0
1923,Winning Percentage,Herb Pennock,New York,0.76
1923,Wins,George Uhle,Cleveland,26.0
1924,Complete Games,Sloppy Thurston,Chicago,28.0
1924,ERA,Walter Johnson,Washington,2.72
1924,Games,Firpo Marberry,Washington,50.0
1924,Saves,Firpo Marberry,Washington,15.0
1924,Shutouts,Walter Johnson,Washington,6.0
1924,Strikeouts,Walter Johnson,Washington,158.0
1924,Winning Percentage,Walter Johnson,Washington,0.767
1924,Wins,Walter Johnson,Washington,23.0
1925,Complete Games,Howard Ehmke,Boston,22.0
1925,Complete Games,Sherry Smith,Cleveland,22.0
1925,ERA,Stan Coveleski,Washington,2.84
1925,Games,Firpo Marberry,Washington,55.0
1925,Saves,Firpo Marberry,Washington,15.0
1925,Shutouts,Ted Lyons,Chicago,5.0
1925,Strikeouts,Lefty Grove,Philadelphia,116.0
1925,Winning Percentage,Stan Coveleski,Washington,0.8
1925,Wins,Ted Lyons,Chicago,21.0
1925,Wins,Eddie Rommel,Philadelphia,21.0
1926,Complete Games,George Uhle,Cleveland,32.0
1926,ERA,Lefty Grove,Philadelphia,2.51
1926,Games,Firpo Marberry,Washington,64.0
1926,Saves,Firpo Marberry,Washington,22.0
1926,Shutouts,Ed Wells,Detroit,4.0
1926,Strikeouts,Lefty Grove,Philadelphia,194.0
1926,Winning Percentage,George Uhle,Cleveland,0.711
1926,Wins,George Uhle,Cleveland,27.0
1927,Complete Games,Ted Lyons,Chicago,30.0
1927,ERA,Wilcy Moore,New York,2.28
1927,Games,Garland Braxton,Washington,58.0
1927,Saves,Garland Braxton,Washington,13.0
1927,Saves,Wilcy Moore,New York,13.0
1927,Shutouts,Hod Lisenbee,Washington,4.0
1927,Strikeouts,Lefty Grove,Philadelphia,174.0
1927,Winning Percentage,Waite Hoyt,New York,0.759
1927,Wins,Waite Hoyt,New York,22.0
1927,Wins,Ted Lyons,Chicago,22.0
1928,Complete Games,Red Ruffing,Boston,25.0
1928,ERA,Garland Braxton,Washington,2.51
1928,Games,Firpo Marberry,Washington,48.0
1928,Saves,Waite Hoyt,New York,8.0
1928,Shutouts,Herb Pennock,New York,5.0
1928,Strikeouts,Lefty Grove,Philadelphia,183.0
1928,Winning Percentage,Alvin Crowder,St. Louis,0.808
1928,Wins,Lefty Grove,Philadelphia,24.0
1928,Wins,George Pipgras,New York,24.0
1929,Complete Games,Tommy Thomas,Chicago,24.0
1929,ERA,Lefty Grove,Philadelphia,2.81
1929,Games,Firpo Marberry,Washington,49.0
1929,Saves,Firpo Marberry,Washington,11.0
1929,Shutouts,George Blaeholder,St. Louis,5.0
1929,Shutouts,Alvin Crowder,St. Louis,5.0
1929,Shutouts,Dolly Gray,St. Louis,5.0
1929,Shutouts,Danny MacFayden,Boston,5.0
1929,Strikeouts,Lefty Grove,Philadelphia,170.0
1929,Winning Percentage,Lefty Grove,Philadelphia,0.769
1929,Wins,George Earnshaw,Philadelphia,24.0
1930,Complete Games,Ted Lyons,Chicago,29.0
1930,ERA,Lefty Grove,Philadelphia,2.54
1930,Games,Lefty Grove,Philadelphia,50.0
1930,Saves,Lefty Grove,Philadelphia,9.0
1930,Shutouts,Clint Brown,Cleveland,3.0
1930,Shutouts,George Earnshaw,Philadelphia,3.0
1930,Shutouts,George Pipgras,New York,3.0
1930,Strikeouts,Lefty Grove,Philadelphia,209.0
1930,Winning Percentage,Lefty Grove,Philadelphia,0.848
1930,Wins,Lefty Grove,Philadelphia,28.0
1931,Complete Games,Wes Ferrell,Cleveland,27.0
1931,Complete Games,Lefty Grove,Philadelphia,27.0
1931,ERA,Lefty Grove,Philadelphia,2.06
1931,Games,Bump Hadley,Washington,55.0
1931,Saves,Wilcy Moore,Boston,10.0
1931,Shutouts,Lefty Grove,Philadelphia,4.0
1931,Strikeouts,Lefty Grove,Philadelphia,175.0
1931,Winning Percentage,Lefty Grove,Philadelphia,0.886
1931,Wins,Lefty Grove,Philadelphia,31.0
1932,Complete Games,Lefty Grove,Philadelphia,27.0
1932,ERA,Lefty Grove,Philadelphia,2.84
1932,Games,Firpo Marberry,Washington,54.0
1932,Saves,Firpo Marberry,Washington,13.0
1932,Shutouts,Tommy Bridges,Detroit,4.0
1932,Shutouts,Lefty Grove,Philadelphia,4.0
1932,Strikeouts,Red Ruffing,New York,190.0
1932,Winning Percentage,Johnny Allen,New York,0.81
1932,Wins,Alvin Crowder,Washington,26.0
1933,Complete Games,Lefty Grove,Philadelphia,21.0
1933,ERA,Monte Pearson,Cleveland,2.33
1933,Games,Alvin Crowder,Washington,52.0
1933,Saves,Jack Russell,Washington,13.0
1933,Shutouts,Oral Hildebrand,Cleveland,6.0
1933,Strikeouts,Lefty Gomez,New York,163.0
1933,Winning Percentage,Lefty Grove,Philadelphia,0.75
1933,Wins,Lefty Grove,Philadelphia,24.0
1933,Wins,Alvin Crowder,Washington,24.0
1934,Complete Games,Lefty Gomez,New York,25.0
1934,ERA,Lefty Gomez,New York,2.33
1934,Games,Jack Russell,Washington,54.0
1934,Saves,Jack Russell,Washington,7.0
1934,Shutouts,Mel Harder,Cleveland,6.0
1934,Shutouts,Lefty Gomez,New York,6.0
1934,Strikeouts,Lefty Gomez,New York,158.0
1934,Winning Percentage,Lefty Gomez,New York,0.839
1934,Wins,Lefty Gomez,New York,26.0
1935,Complete Games,Wes Ferrell,Boston,31.0
1935,ERA,Lefty Grove,Boston,2.7
1935,Games,Russ Van Atta,New York,58.0
1935,Games,Russ Van Atta,St. Louis,58.0
1935,Saves,Jack Knott,St. Louis,7.0
1935,Shutouts,Schoolboy Rowe,Detroit,6.0
1935,Strikeouts,Tommy Bridges,Detroit,163.0
1935,Winning Percentage,Elden Auker,Detroit,0.72
1935,Wins,Wes Ferrell,Boston,25.0
1936,Complete Games,Wes Ferrell,Boston,28.0
1936,ERA,Lefty Grove,Philadelphia,2.81
1936,Games,Russ Van Atta,St. Louis,52.0
1936,Saves,Pat Malone,New York,9.0
1936,Shutouts,Lefty Grove,Philadelphia,6.0
1936,Strikeouts,Tommy Bridges,Detroit,175.0
1936,Winning Percentage,Bump Hadley,New York,0.778
1936,Wins,Tommy Bridges,Detroit,23.0
1937,Complete Games,Wes Ferrell,Boston,26.0
1937,Complete Games,Wes Ferrell,Washington,26.0
1937,ERA,Lefty Gomez,New York,2.33
1937,Games,Clint Brown,Chicago,53.0
1937,Saves,Clint Brown,Chicago,18.0
1937,Shutouts,Lefty Gomez,New York,6.0
1937,Strikeouts,Lefty Gomez,New York,194.0
1937,Winning Percentage,Johnny Allen,Cleveland,0.938
1937,Wins,Lefty Gomez,New York,21.0
1938,Complete Games,Bobo Newsom,St. Louis,31.0
1938,ERA,Lefty Grove,Boston,3.08
1938,Games,Johnny Humphries,Cleveland,45.0
1938,Saves,Johnny Murphy,New York,11.0
1938,Shutouts,Lefty Gomez,New York,4.0
1938,Strikeouts,Bob Feller,Cleveland,240.0
1938,Winning Percentage,Red Ruffing,New York,0.75
1938,Wins,Red Ruffing,New York,21.0
1939,Complete Games,Bobo Newsom,St. Louis,24.0
1939,Complete Games,Bobo Newsom,Detroit,24.0
1939,ERA,Lefty Grove,Boston,2.54
1939,Games,Clint Brown,Chicago,61.0
1939,Saves,Johnny Murphy,New York,19.0
1939,Shutouts,Red Ruffing,New York,5.0
1939,Strikeouts,Bob Feller,Cleveland,246.0
1939,Winning Percentage,Lefty Grove,Boston,0.789
1939,Wins,Bob Feller,Cleveland,24.0
1940,Complete Games,Bob Feller,Cleveland,31.0
1940,ERA,Bob Feller,Cleveland,2.61
1940,Games,Bob Feller,Cleveland,43.0
1940,Saves,Al Benton,Detroit,17.0
1940,Shutouts,Bob Feller,Cleveland,4.0
1940,Shutouts,Ted Lyons,Chicago,4.0
1940,Shutouts,Al Milnar,Cleveland,4.0
1940,Strikeouts,Bob Feller,Cleveland,261.0
1940,Winning Percentage,Schoolboy Rowe,Detroit,0.842
1940,Wins,Bob Feller,Cleveland,27.0
1941,Complete Games,Thornton Lee,Chicago,30.0
1941,ERA,Thornton Lee,Chicago,2.37
1941,Games,Bob Feller,Cleveland,44.0
1941,Saves,Johnny Murphy,New York,15.0
1941,Shutouts,Bob Feller,Cleveland,6.0
1941,Strikeouts,Bob Feller,Cleveland,260.0
1941,Winning Percentage,Lefty Gomez,New York,0.75
1941,Wins,Bob Feller,Cleveland,25.0
1951,Complete Games,Ned Garver,St. Louis,24.0
1951,ERA,Saul Rogovin,Detroit,2.78
1951,ERA,Saul Rogovin,Chicago,2.78
1951,Games,Ellis Kinder,Boston,63.0
1951,Saves,Ellis Kinder,Boston,14.0
1951,Shutouts,Allie Reynolds,New York,7.0
1951,Strikeouts,Vic Raschi,New York,164.0
1951,Winning Percentage,Bob Feller,Cleveland,0.733
1951,Wins,Bob Feller,Cleveland,22.0
1953,Complete Games,Bob Porterfield,Washington,24.0
1953,ERA,Ed Lopat,New York,2.42
1953,Games,Ellis Kinder,Boston,69.0
1953,Saves,Ellis Kinder,Boston,27.0
1953,Shutouts,Bob Porterfield,Washington,9.0
1953,Strikeouts,Billy Pierce,New York,186.0
1953,Winning Percentage,Ed Lopat,New York,0.8
1953,Wins,Bob Porterfield,Washington,22.0
1954,Complete Games,Bob Lemon,Cleveland,21.0
1954,Complete Games,Bob Porterfield,Washington,21.0
1954,ERA,Mike Garcia,Cleveland,2.64
1954,Games,Sonny Dixon,Washington,54.0
1954,Games,Sonny Dixon,Philadelphia,54.0
1954,Saves,Johnny Sain,New York,22.0
1954,Shutouts,Mike Garcia,Cleveland,5.0
1954,Shutouts,Virgil Trucks,Chicago,5.0
1954,Strikeouts,Bob Turley,Baltimore,185.0
1954,Winning Percentage,Sandy Consuegra,Chicago,0.842
1954,Wins,Bob Lemon,Cleveland,23.0
1954,Wins,Early Wynn,Cleveland,23.0
1955,Complete Games,Whitey Ford,New York,18.0
1955,ERA,Billy Pierce,Chicago,1.97
1955,Games,Ray Narleski,Cleveland,60.0
1955,Saves,Ray Narleski,Cleveland,19.0
1955,Shutouts,Billy Hoeft,Detroit,7.0
1955,Strikeouts,Herb Score,Cleveland,245.0
1955,Winning Percentage,Tommy Byrne,New York,0.762
1955,Wins,Whitey Ford,New York,18.0
1955,Wins,Bob Lemon,Cleveland,18.0
1955,Wins,Frank Sullivan,Boston,18.0
1956,Complete Games,Bob Lemon,Cleveland,21.0
1956,Complete Games,Billy Pierce,Chicago,21.0
1956,ERA,Whitey Ford,New York,2.47
1956,Games,George Zuverink,Baltimore,62.0
1956,Saves,George Zuverink,Baltimore,16.0
1956,Shutouts,Herb Score,Cleveland,5.0
1956,Strikeouts,Herb Score,Cleveland,263.0
1956,Winning Percentage,Whitey Ford,New York,0.76
1956,Wins,Frank Lary,Detroit,21.0
1957,Complete Games,Dick Donovan,Chicago,16.0
1957,Complete Games,Billy Pierce,Chicago,16.0
1957,ERA,Bobby Shantz,New York,2.45
1957,Games,George Zuverink,Baltimore,56.0
1957,Saves,Bob Grim,New York,19.0
1957,Shutouts,Jim Wilson,Chicago,5.0
1957,Strikeouts,Early Wynn,Cleveland,184.0
1957,Winning Percentage,Dick Donovan,Chicago,0.727
1957,Winning Percentage,Tom Sturdivant,New York,0.727
1957,Wins,Jim Bunning,Detroit,20.0
1957,Wins,Billy Pierce,Chicago,20.0
1958,Complete Games,Frank Lary,Detroit,19.0
1958,Complete Games,Billy Pierce,Chicago,19.0
1958,Complete Games,Bob Turley,New York,19.0
1958,ERA,Whitey Ford,New York,2.01
1958,Games,Tex Clevenger,Washington,55.0
1958,Saves,Ryne Duren,New York,20.0
1958,Shutouts,Whitey Ford,New York,7.0
1958,Strikeouts,Early Wynn,Chicago,179.0
1958,Winning Percentage,Bob Turley,New York,0.75
1958,Wins,Bob Turley,New York,21.0
1959,Complete Games,Camilo Pascual,Washington,17.0
1959,ERA,Hoyt Wilhelm,Baltimore,2.19
1959,Games,Gerry Staley,Chicago,67.0
1959,Saves,Turk Lown,Chicago,15.0
1959,Shutouts,Camilo Pascual,Washington,6.0
1959,Strikeouts,Jim Bunning,Detroit,201.0
1959,Winning Percentage,Bob Shaw,Chicago,0.75
1959,Wins,Early Wynn,Chicago,22.0
1960,Complete Games,Frank Lary,Detroit,15.0
1960,ERA,Frank Baumann,Chicago,2.67
1960,Games,Mike Fornieles,Boston,70.0
1960,Saves,Johnny Klippstein,Cleveland,14.0
1960,Saves,Mike Fornieles,Boston,14.0
1960,Shutouts,Whitey Ford,New York,4.0
1960,Shutouts,Jim Perry,Cleveland,4.0
1960,Shutouts,Early Wynn,Chicago,4.0
1960,Strikeouts,Jim Bunning,Detroit,201.0
1960,Winning Percentage,Jim Perry,Cleveland,0.643
1960,Wins,Chuck Estrada,Baltimore,18.0
1960,Wins,Jim Perry,Cleveland,18.0
1961,Complete Games,Frank Lary,Detroit,22.0
1961,ERA,Dick Donovan,Washington,2.4
1961,Games,Luis Arroyo,New York,65.0
1961,Saves,Luis Arroyo,New York,29.0
1961,Shutouts,Steve Barber,Baltimore,8.0
1961,Shutouts,Camilo Pascual,Minnesota,8.0
1961,Strikeouts,Camilo Pascual,Minnesota,221.0
1961,Winning Percentage,Whitey Ford,New York,0.862
1961,Wins,Whitey Ford,New York,25.0
1962,Complete Games,Camilo Pascual,Minnesota,18.0
1962,ERA,Hank Aguirre,Detroit,2.21
1962,Games,Dick Radatz,Boston,62.0
1962,Saves,Dick Radatz,Boston,24.0
1962,Shutouts,Dick Donovan,Cleveland,5.0
1962,Shutouts,Jim Kaat,Minnesota,5.0
1962,Shutouts,Camilo Pascual,Minnesota,5.0
1962,Strikeouts,Camilo Pascual,Minnesota,206.0
1962,Winning Percentage,Ray Herbert,Chicago,0.69
1962,Wins,Ralph Terry,New York,23.0
1963,Complete Games,Camilo Pascual,Minnesota,18.0
1963,Complete Games,Ralph Terry,New York,18.0
1963,ERA,Gary Peters,Chicago,2.33
1963,Games,Stu Miller,Baltimore,71.0
1963,Saves,Stu Miller,Baltimore,27.0
1963,Shutouts,Ray Herbert,Chicago,7.0
1963,Strikeouts,Camilo Pascual,Minnesota,202.0
1963,Winning Percentage,Whitey Ford,New York,0.774
1963,Wins,Whitey Ford,New York,24.0
1964,Complete Games,Dean Chance,Los Angeles,19.0
1964,ERA,Dean Chance,Los Angeles,1.65
1964,Games,John Wyatt,Kansas City,81.0
1964,Saves,Dick Radatz,Boston,29.0
1964,Shutouts,Dean Chance,Los Angeles,11.0
1964,Strikeouts,Al Downing,New York,217.0
1964,Winning Percentage,Wally Bunker,Baltimore,0.792
1964,Wins,Dean Chance,Los Angeles,20.0
1964,Wins,Gary Peters,Chicago,20.0
1965,Complete Games,Mel Stottlemyre,New York,18.0
1965,ERA,Sam McDowell,Cleveland,2.18
1965,Games,Eddie Fisher,Chicago,82.0
1965,Saves,Ron Kline,Washington,29.0
1965,Shutouts,Mudcat Grant,Minnesota,6.0
1965,Strikeouts,Sam McDowell,Cleveland,325.0
1965,Winning Percentage,Mudcat Grant,Minnesota,0.75
1965,Wins,Mudcat Grant,Minnesota,21.0
1966,Complete Games,Jim Kaat,Minnesota,19.0
1966,ERA,Gary Peters,Chicago,1.98
1966,Games,Eddie Fisher,Baltimore,67.0
1966,Games,Eddie Fisher,Chicago,67.0
1966,Saves,Jack Aker,Kansas City,32.0
1966,Shutouts,Tommy John,Chicago,5.0
1966,Shutouts,Sam McDowell,Cleveland,5.0
1966,Shutouts,Luis Tiant,Cleveland,5.0
1966,Strikeouts,Sam McDowell,Cleveland,225.0
1966,Winning Percentage,Sonny Siebert,Cleveland,0.667
1966,Wins,Jim Kaat,Minnesota,25.0
1967,Complete Games,Dean Chance,Minnesota,18.0
1967,ERA,Joe Horlen,Chicago,2.06
1967,Games,Bob Locker,Chicago,77.0
1967,Saves,Minnie Rojas,California,27.0
1967,Shutouts,Steve Hargan,Cleveland,6.0
1967,Shutouts,Joe Horlen,Chicago,6.0
1967,Shutouts,Tommy John,Chicago,6.0
1967,Shutouts,Mickey Lolich,Detroit,6.0
1967,Shutouts,Jim McGlothin,California,6.0
1967,Strikeouts,Jim Lonborg,Boston,246.0
1967,Winning Percentage,Joe Horlen,Chicago,0.731
1967,Wins,Jim Lonborg,Boston,22.0
1967,Wins,Earl Wilson,Detroit,22.0
1968,Complete Games,Denny McLain,Detroit,28.0
1968,ERA,Luis Tiant,Cleveland,1.6
1968,Games,Wilbur Wood,Chicago,88.0
1968,Saves,Al Worthington,Minnesota,18.0
1968,Shutouts,Luis Tiant,Cleveland,9.0
1968,Strikeouts,Sam McDowell,Cleveland,283.0
1968,Winning Percentage,Denny McLain,Detroit,0.838
1968,Wins,Denny McLain,Detroit,31.0
1969,Complete Games,Mel Stottlemyre,New York,24.0
1969,ERA,Dick Bosman,Washington,2.19
1969,Games,Wilbur Wood,Chicago,76.0
1969,Saves,Ron Perranoski,Minnesota,31.0
1969,Shutouts,Denny McLain,Detroit,9.0
1969,Strikeouts,Sam McDowell,Cleveland,279.0
1969,Winning Percentage,Jim Palmer,Baltimore,0.8
